COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
452,"GRUPCOM RETAIL,  S.L.",22700,JACA,SGS,HUESCA,0457_003,2012278,6/11/14,R00031,0.9667,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
269,STAND -  MEDIA MARKT PUERTO VENECIA,50000,ZARAGOZA,SGS,ZARAGOZA,0457_004,2012295,6/10/14,R00031,0.7333,MYSTERY SHOPPER CONSUMO P2 (JUN_14)
416,"ZAITEL 500 , S.L.",50008,ZARAGOZA,SGS,ZARAGOZA,0457_003,2012305,6/10/14,R00096,0.9667,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
1255,INTERNITY (AVENIR TELECOM S.A.),50012,Zaragoza,SGS,ZARAGOZA,0457_003,2012307,6/10/14,R00031,0.8167,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
4653,"Ronda de Pontevedra, 42",15800,MELIDE,SGS,A CORUÑA,0210_001,2012310,6/10/14,R00010,0.967,Dia Market Galicia
249,CC PLAZA ESTACION,28943,FUENLABRADA,SGS,MADRID,0111_001,2012323,6/11/14,R00028,1,Cuest  Druni 2014
S47,Plaza del Castillo,31001,Pamplona,SGS,NAVARRA,0133_001,2012326,6/12/14,R00141,0.916,Saba_cuestionario MS
CO5,BAHIA MAR,29602,Marbella,SGS,MALAGA,0132_1,2012328,6/14/14,33728,0.6863,Cuestionario Cinesa
CI32,PLAZA DE ARMAS,41001,Sevilla,SGS,SEVILLA,0132_1,2012330,6/15/14,29559,0.99,Cuestionario Cinesa
417,"ZAITEL 500 , S.L.",50007,ZARAGOZA,SGS,ZARAGOZA,0457_003,2012331,6/10/14,R00096,0.9167,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
1234,INTERNITY (AVENIR TELECOM S.A.),50013,Zaragoza,SGS,ZARAGOZA,0457_003,2012333,6/10/14,R00031,0.7833,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
264,STAND -  MEDIA MARKT ZARAGOZA,50000,ZARAGOZA,SGS,ZARAGOZA,0457_004,2012337,6/11/14,R00031,0.9167,MYSTERY SHOPPER CONSUMO P2 (JUN_14)
148,STAND -  CARREFOUR ACTUR,50000,ZARAGOZA,SGS,ZARAGOZA,0457_004,2012338,6/11/14,R00096,0.6667,MYSTERY SHOPPER CONSUMO P2 (JUN_14)
SEP_1007,SAN SEBASTIAN,20014,San Sebastián,SGS,GUIPUZCOA,0020_002,2012342,6/12/14,R01140,0.935,Sephora
SEP_1242,GARBERA,20017,San Sebastián,SGS,GUIPUZCOA,0020_002,2012345,6/12/14,R32801,0.8566,Sephora
SEP_312,SANTANDER,39011,Santander,SGS,CANTABRIA,0020_002,2012366,6/13/14,33555,0.9286,Sephora
2087,"C. DE LA BARCA, 12",39002,SANTANDER,SGS,CANTABRIA,0266_001,2012397,6/11/14,33555,0,check IFA
SEP_1690,PARQUE COMERCIAL GRAN PLAZA,4740,Roquetas de Mar,SGS,ALMERIA,0020_002,2012398,6/13/14,2482,0.7837,Sephora
SEP_1153,JERÉZ,11408,Jerez de la Frontera,SGS,CADIZ,0020_002,2012404,6/10/14,32670,0.8743,Sephora
SEP_1153,JERÉZ,11408,Jerez de la Frontera,SGS,CADIZ,0020_002,2012405,6/11/14,32670,0.8914,Sephora
42,holaMOBI O Barco,32300,O Barco,SGS,ORENSE,0585_01,2012411,6/10/14,30180,0.8617,Check Mystery HolaMOBI
251a,SANTIAGO - CC As Cancelas,15703,Santiago de Compostela,SGS,A CORUÑA,0457_002,2012413,5/10/14,66694,1,MYSTERY SHOPPER FFQQ PDV 2.0 P1 (MAY_14)
E-PL1,La Pausa /  E-PL1,13650,Puerto Lapice,SGS,CIUDAD REAL,0201_001,2012433,6/10/14,R02042,0.005,Areas Compra Programada_Abril_2012
1132,INTERNITY (AVENIR TELECOM S.A.),13003,Ciudad Real,SGS,CIUDAD REAL,0457_003,2012434,6/11/14,R02031,0.6467,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
1417,"PUNZON BIEZMA, S.L",45400,MORA,SGS,TOLEDO,0457_003,2012446,6/10/14,R00028,0.9333,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
314,ALARCON - TORRIJOS,45500,TORRIJOS,SGS,TOLEDO,0457_002,2012455,6/10/14,R00028,0.9167,MYSTERY SHOPPER FFQQ P2 (JUN_14)
13,CC RUBICÓN,35570,Lanzarote,SGS,"PALMAS, LAS",447_001,2012461,6/11/14,66715,1,Fund Grube Mystery
14,YAIZA,35580,Lanzarote,SGS,"PALMAS, LAS",447_001,2012462,6/11/14,66715,0.9196,Fund Grube Mystery
15,CC PALM GARDEN,35625,Jandía (Fuerteventura),SGS,"PALMAS, LAS",447_001,2012463,6/13/14,32770,0.9046,Fund Grube Mystery
16,CC LAS PALMERAS,35660,Corralejo (Fuerteventura),SGS,"PALMAS, LAS",447_001,2012464,6/13/14,32770,0.9161,Fund Grube Mystery
143,VILA SECA,43480,VILA SECA,SGS,TARRAGONA,0111_001,2012478,6/11/14,R29502,0.933,Cuest  Druni 2014
9,FIGUERES,17600,FIGUERES,SGS,GIRONA,0111_001,2012479,6/11/14,R29462,0.933,Cuest  Druni 2014
94,"REUS MOBILE PHONE, S",43202,REUS,SGS,TARRAGONA,0457_003,2012512,6/11/14,R29502,0.9,MYSTERY SHOPPER SERVICIO ESPECIALISTA P2 (JUN_14 )
099a,REUS - Jesús,43201,Reus,SGS,TARRAGONA,0457_002,2012513,6/11/14,R29502,0.74,MYSTERY SHOPPER SERVICIO PDV 2.0 FFQQ P2 (JUN 14)
E-MD1,Medas /  E-MD1,43005,Altafulla,SGS,TARRAGONA,0201_001,2012516,6/11/14,R29502,0.01,Areas Compra Programada_Abril_2012
889,889,43205,REUS,SGS,TARRAGONA,0198_001,2012518,6/11/14,R29502,0.99,DIA LA SELVA C.P.
51,"GSM BAHIA, S.L.U.",11204,ALGECIRAS,SGS,CADIZ,0457_003,2012567,6/13/14,33434,0.9,MYSTERY SHOPPER ESPECIALISTA P2 (JUN_14)
52,holaMOBI Amposta,43870,Amposta,SGS,TARRAGONA,0585_01,2012570,6/12/14,32683,0.605,Check Mystery HolaMOBI
12,ZARAGOZA - INDEPENDENCIA,50001,Zaragoza,SGS,ZARAGOZA,459_001,2012579,6/12/14,33641,0.9732,Cuestionario Amorino Mystery
