COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
963,"GALERIAS CULLERA, S.L",46400,CULLERA,917,VALENCIA,0457_003,1996920,5/15/14,66723,0.9167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
964,"GALERIAS CULLERA, S.L",46410,SUECA,917,VALENCIA,0457_003,1996921,5/21/14,33625,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
975,"DOBER GESTION, S.L.",46220,PICASSENT,917,VALENCIA,0457_003,1996922,5/14/14,29665,0.9167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
997,BROGA-PHONE S.L.,46115,ALFARA DEL PATRIARCA,917,VALENCIA,0457_003,1996923,5/9/14,31924,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
998,BROGA-PHONE S.L.,46920,MISLATA,917,VALENCIA,0457_003,1996924,5/21/14,32099,0.88,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1026,BROGA-PHONE S.L.,46530,PUZOL,917,VALENCIA,0457_003,1996925,5/21/14,32669,0.8667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1067,"GRUPO BONATEL, S.L.U.",46500,SAGUNTO,917,VALENCIA,0457_003,1996926,5/3/14,29710,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1426,TONGAS S.L.,46023,VALENCIA,917,VALENCIA,0457_003,1996928,5/23/14,33238,0.8167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1504,TONGAS S.L.,46800,Xátiva,917,VALENCIA,0457_003,1996929,5/6/14,33979,0.7833,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1526,STAND -- EXPERIS ECI NUEVO CENTRO,46009,VALENCIA,917,VALENCIA,0457_003,1996930,5/6/14,31924,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1532,STAND -- EXPERIS ECI AVDA. DE FRANCIA,46023,VALENCIA,917,VALENCIA,0457_003,1996931,5/20/14,34019,0.6833,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1566,STAND -- EXPERIS ECI PINTOR SOROLLA,46004,VALENCIA,917,VALENCIA,0457_003,1996932,5/15/14,30948,0.6467,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1586,STAND -- EXPERIS ECI ADEMUZ,46015,VALENCIA,917,VALENCIA,0457_003,1996933,5/6/14,31924,0.95,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
52,VALENCIA - San Vicente Mártir,46002,Valencia,917,VALENCIA,0457_002,1996934,5/8/14,30948,0.8667,MYSTERY SHOPPER FFQQ P1 (MAY_14)
54,CARCAIXENT - CC Ribera del Xuquer,46740,Carcaixent,917,VALENCIA,0457_002,1996935,5/12/14,30811,1,MYSTERY SHOPPER FFQQ P1 (MAY_14)
55,GANDIA - CC La Vital,46700,Gandia,917,VALENCIA,0457_002,1996936,5/15/14,32002,0.8167,MYSTERY SHOPPER FFQQ P1 (MAY_14)
057a,VALENCIA - RUZAFA,46002,Valencia,917,VALENCIA,0457_002,1996937,5/6/14,31924,1,MYSTERY SHOPPER FFQQ P1 (MAY_14)
058a,PATERNA - CC Carrefour,46980,Paterna,917,VALENCIA,0457_002,1996938,5/20/14,32099,0.83,MYSTERY SHOPPER FFQQ P1 (MAY_14)
68,ONTINYENT - Albaida,46870,Ontinyent,917,VALENCIA,0457_002,1996939,5/7/14,33837,0.4967,MYSTERY SHOPPER FFQQ P1 (MAY_14)
230,ALFAFAR - CC Albufera,46910,Alfafar,917,VALENCIA,0457_002,1996940,5/6/14,29710,0.9667,MYSTERY SHOPPER FFQQ P1 (MAY_14)
261,Valencia CC Arena,46019,VALENCIA,917,VALENCIA,0457_002,1996941,5/9/14,34232,0.895,MYSTERY SHOPPER FFQQ PDV 2.0 P1 (MAY_14)
382,"GRUPO BONATEL, S.L.U.",12580,BENICARLÓ,917,CASTELLON,0457_003,1996942,5/13/14,34204,0.65,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
748,"GRUPO BONATEL, S.L.U.",12550,ALMAZORA,917,CASTELLON,0457_003,1996944,5/5/14,32902,0.8667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
793,"LUALBO, S.L",12001,CASTELLÓN,917,CASTELLON,0457_003,1996945,5/6/14,34204,0.8467,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0794a,"LUALBO, S.L",12520,NULES,917,CASTELLON,0457_003,1996946,5/22/14,33853,0.4633,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
795,"LUALBO, S.L",12200,ONDA,917,CASTELLON,0457_003,1996947,5/12/14,33991,0.8333,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
805,"LUALBO, S.L",12600,VALL DE UXÓ,917,CASTELLON,0457_003,1996948,5/6/14,32902,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
912,BROGA-PHONE S.L.,12001,CASTELLÓN,917,CASTELLON,0457_003,1996949,5/8/14,34204,0.5467,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1414,"LUALBO, S.L",12500,VINAROZ,917,CASTELLON,0457_003,1996951,5/13/14,34204,0.7,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1491,"LUALBO, S.L",12001,CASTELLON,917,CASTELLON,0457_003,1996952,5/9/14,34204,0.8781,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
1538,STAND -- EXPERIS ECI CASTELLÓN,12006,CASTELLÓN,917,CASTELLON,0457_003,1996953,5/13/14,33853,0.95,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
37a,Valencia Colon,46004,VALENCIA,917,VALENCIA,0457_001,1996954,5/20/14,33427,0.93,MYSTERY SHOPPER TTPP PDV 2.0 P1 (MAY_14)
4053,TENERIFE-PILAR,38002,TENERIFE,917,SANTA CRUZ DE TENERIFE,0569_001,1996955,5/21/14,29590,0.758,Prenatal Mystery Shopping
4053,TENERIFE-PILAR,38002,TENERIFE,917,SANTA CRUZ DE TENERIFE,0569_001,1996956,5/22/14,29590,0.95,Prenatal Visual tienda
4252,TENERIFE ANT,38108,SAN CRISTOBAL LA DE LAGUNA,917,SANTA CRUZ DE TENERIFE,0569_001,1996957,5/21/14,29590,0.621,Prenatal Mystery Shopping
4252,TENERIFE ANT,38108,SAN CRISTOBAL LA DE LAGUNA,917,SANTA CRUZ DE TENERIFE,0569_001,1996958,5/21/14,29590,0.92,Prenatal Visual tienda
84,MEDEROS MOVITEN S.L.,38260,TEJINA  LA LAGUNA,917,SANTA CRUZ DE TENERIFE,0457_003,1996960,5/16/14,34090,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
183,"CRIS MOVIL, S.L",38430,ICOD DE LOS VINOS,917,SANTA CRUZ DE TENERIFE,0457_003,1996961,5/16/14,34090,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
276,"CRIS MOVIL, S.L",38410,LOS REALEJOS,917,SANTA CRUZ DE TENERIFE,0457_003,1996962,5/16/14,34090,0.85,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
167,DIGITAL FONE COMUNICACION SLU,38500,GUIMAR,917,SANTA CRUZ DE TENERIFE,0457_003,1996965,5/14/14,34073,0.8167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
0502a,DIGITAL FONE COMUNICACION SLU,38800,SAN SEBASTIAN DE LA GOMERA,917,SANTA CRUZ DE TENERIFE,0457_003,1996967,5/19/14,34088,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
501,"CRIS MOVIL, S.L",38687,GUÍA DE ISORA,917,SANTA CRUZ DE TENERIFE,0457_003,1996968,5/14/14,34072,0.9667,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
278,RAVAIOLI E HIJOS S.L.,38611,SAN ISIDRO  GRANADILLA DE ABON,917,SANTA CRUZ DE TENERIFE,0457_003,1996969,5/8/14,34072,0.9167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
194,RAVAIOLI E HIJOS S.L.,38660,PLAYA DE LAS AMÉRICAS,917,SANTA CRUZ DE TENERIFE,0457_003,1996971,5/8/14,34072,0.9167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
271,DIGITAL FONE COMUNICACION SLU,38530,CANDELARIA,917,SANTA CRUZ DE TENERIFE,0457_003,1996972,5/14/14,34072,0.7167,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
82,MEDEROS MOVITEN S.L.,38670,ADEJE,917,SANTA CRUZ DE TENERIFE,0457_003,1996973,5/8/14,34072,1,MYSTERY SHOPPER ESPECIALISTA P1 (MAY_14)
7,ADEJE - CC Gran Sur,38679,Adeje (Santa Cruz de Tenerife),917,SANTA CRUZ DE TENERIFE,0457_002,1996974,5/8/14,34072,0.8167,MYSTERY SHOPPER FFQQ P1 (MAY_14)
